,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
293,0.736,0.811,9,-4.17,0,0.081,0.00132,0.000142,0.107,0.609,103.502,audio_features,4BggEwLhGfrbrl7JBhC8EC,spotify:track:4BggEwLhGfrbrl7JBhC8EC,https://api.spotify.com/v1/tracks/4BggEwLhGfrbrl7JBhC8EC,https://api.spotify.com/v1/audio-analysis/4BggEwLhGfrbrl7JBhC8EC,216733,4
294,0.791,0.702,1,-7.333,1,0.0623,0.0174,0,0.423,0.789,103.646,audio_features,6aJ90LBl96bly9zuEH1U2X,spotify:track:6aJ90LBl96bly9zuEH1U2X,https://api.spotify.com/v1/tracks/6aJ90LBl96bly9zuEH1U2X,https://api.spotify.com/v1/audio-analysis/6aJ90LBl96bly9zuEH1U2X,237547,4
295,0.621,0.901,2,-5.396,1,0.0302,0.17,0,0.0875,0.744,113.967,audio_features,1Cwsd5xI8CajJz795oy4XF,spotify:track:1Cwsd5xI8CajJz795oy4XF,https://api.spotify.com/v1/tracks/1Cwsd5xI8CajJz795oy4XF,https://api.spotify.com/v1/audio-analysis/1Cwsd5xI8CajJz795oy4XF,300773,4
296,0.51,0.931,11,-3.302,1,0.347,0.0738,0,0.5,0.53,201.936,audio_features,0LWkaEyQRkF0XAms8Bg1fC,spotify:track:0LWkaEyQRkF0XAms8Bg1fC,https://api.spotify.com/v1/tracks/0LWkaEyQRkF0XAms8Bg1fC,https://api.spotify.com/v1/audio-analysis/0LWkaEyQRkF0XAms8Bg1fC,268867,4
297,0.578,0.817,0,-6.542,1,0.0363,0.183,3.06E-06,0.285,0.726,141.621,audio_features,5DiXcVovI0FcY2s0icWWUu,spotify:track:5DiXcVovI0FcY2s0icWWUu,https://api.spotify.com/v1/tracks/5DiXcVovI0FcY2s0icWWUu,https://api.spotify.com/v1/audio-analysis/5DiXcVovI0FcY2s0icWWUu,272293,4
298,0.526,0.749,3,-6.964,1,0.0283,0.023,1.76E-06,0.0692,0.421,99.982,audio_features,754kgU5rWscRTfvlsuEwFp,spotify:track:754kgU5rWscRTfvlsuEwFp,https://api.spotify.com/v1/tracks/754kgU5rWscRTfvlsuEwFp,https://api.spotify.com/v1/audio-analysis/754kgU5rWscRTfvlsuEwFp,208680,4
299,0.664,0.622,10,-8.505,1,0.0253,0.0994,0.0738,0.112,0.614,102.342,audio_features,7zB3ZhA5v33pA4rCdKKGqq,spotify:track:7zB3ZhA5v33pA4rCdKKGqq,https://api.spotify.com/v1/tracks/7zB3ZhA5v33pA4rCdKKGqq,https://api.spotify.com/v1/audio-analysis/7zB3ZhA5v33pA4rCdKKGqq,310333,4
300,0.713,0.234,1,-17.876,0,0.911,0.546,0,0.246,0.388,97.483,audio_features,0LpF3BJplNYWei6BmgZJwq,spotify:track:0LpF3BJplNYWei6BmgZJwq,https://api.spotify.com/v1/tracks/0LpF3BJplNYWei6BmgZJwq,https://api.spotify.com/v1/audio-analysis/0LpF3BJplNYWei6BmgZJwq,133400,4
301,0.408,0.582,11,-8.305,1,0.0508,0.218,0,0.159,0.365,114.926,audio_features,1d6KS9GH06JAd19uiBy9IE,spotify:track:1d6KS9GH06JAd19uiBy9IE,https://api.spotify.com/v1/tracks/1d6KS9GH06JAd19uiBy9IE,https://api.spotify.com/v1/audio-analysis/1d6KS9GH06JAd19uiBy9IE,230000,5
302,0.888,0.822,5,-6.843,0,0.219,0.0025,0.0197,0.303,0.233,102.753,audio_features,4dY4JVC0Q9CwpeZ6JAclIc,spotify:track:4dY4JVC0Q9CwpeZ6JAclIc,https://api.spotify.com/v1/tracks/4dY4JVC0Q9CwpeZ6JAclIc,https://api.spotify.com/v1/audio-analysis/4dY4JVC0Q9CwpeZ6JAclIc,312360,4
303,0.673,0.829,1,-6.059,1,0.0469,0.0026,0,0.194,0.854,88.062,audio_features,7FJXmwkTvxEcAelZ0scUCm,spotify:track:7FJXmwkTvxEcAelZ0scUCm,https://api.spotify.com/v1/tracks/7FJXmwkTvxEcAelZ0scUCm,https://api.spotify.com/v1/audio-analysis/7FJXmwkTvxEcAelZ0scUCm,227533,4
304,0.45,0.815,2,-5.619,1,0.0362,0.0201,4.61E-05,0.355,0.617,84.95,audio_features,1nZ6ZLqJ10L2gBmKcBR9hF,spotify:track:1nZ6ZLqJ10L2gBmKcBR9hF,https://api.spotify.com/v1/tracks/1nZ6ZLqJ10L2gBmKcBR9hF,https://api.spotify.com/v1/audio-analysis/1nZ6ZLqJ10L2gBmKcBR9hF,233800,4
305,0.401,0.706,8,-7.554,1,0.0404,0.00415,0,0.0916,0.458,168.669,audio_features,4l7YIni9bAiGwWMqK5wvgV,spotify:track:4l7YIni9bAiGwWMqK5wvgV,https://api.spotify.com/v1/tracks/4l7YIni9bAiGwWMqK5wvgV,https://api.spotify.com/v1/audio-analysis/4l7YIni9bAiGwWMqK5wvgV,239640,4
306,0.309,0.649,7,-8.994,1,0.035,0.0158,0.00591,0.367,0.312,166.915,audio_features,7EZC6E7UjZe63f1jRmkWxt,spotify:track:7EZC6E7UjZe63f1jRmkWxt,https://api.spotify.com/v1/tracks/7EZC6E7UjZe63f1jRmkWxt,https://api.spotify.com/v1/audio-analysis/7EZC6E7UjZe63f1jRmkWxt,306440,4
